Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 1,,,,,,,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Early Vote,,Absentee,,,Canvass,,Absentee After ED,,Provisional,,,,
IND ROBERT F. KENNEDY JR.,,10,,1.25%,,5,,5,,,0,,0,,0,,0,,
Write-In Totals,,9,,1.12%,,5,,4,,,0,,0,,0,,0,,
Total Votes Cast,,799,,99.50%,,282,,471,,,43,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,4,,0.50%,,3,,1,,,0,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
,FOR U.S. SENATOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP JIM JUSTICE,,308,,38.36%,,113,,180,,,14,,0,,1,,0,,
DEM GLENN ELLIOTT,,457,,56.91%,,151,,276,,,28,,0,,1,,1,,
LBN DAVID MORAN,,22,,2.74%,,12,,9,,,1,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,4,,0.50%,,1,,3,,,0,,0,,0,,0,,
Total Votes Cast,,791,,98.51%,,277,,468,,,43,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,12,,1.49%,,8,,4,,,0,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
,FOR U.S. HOUSE OF REPS 2ND DIST,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP RILEY MOORE,,335,,41.72%,,125,,196,,,13,,0,,1,,0,,
DEM STEVEN WENDELIN,,429,,53.42%,,143,,254,,,30,,0,,1,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.12%,,0,,1,,,0,,0,,0,,0,,
Total Votes Cast,,765,,95.27%,,268,,451,,,43,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,38,,4.73%,,17,,21,,,0,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,49,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 26,,,,,,,,,,,,,,,,,,,
,FOR GOVERNOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP PATRICK MORRISEY,,290,,36.11%,,106,,171,,,13,,0,,0,,0,,
DEM STEVE WILLIAMS,,456,,56.79%,,149,,275,,,30,,0,,1,,1,,
LBN ERIKA KLIE KOLENICH,,21,,2.62%,,14,,7,,,0,,0,,0,,0,,
MTN CHASE LINKO-LOOPER,,12,,1.49%,,6,,6,,,0,,0,,0,,0,,
CST S. MARSHALL WILSON,,2,,0.25%,,1,,1,,,0,,0,,0,,0,,
Write-In Totals,,2,,0.25%,,1,,1,,,0,,0,,0,,0,,
Total Votes Cast,,783,,97.51%,,277,,461,,,43,,0,,1,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,20,,2.49%,,8,,11,,,0,,0,,1,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
,FOR SECRETARY OF STATE,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP KRIS WARNER,,326,,40.60%,,115,,197,,,12,,0,,2,,0,,
DEM THORNTON COOPER,,445,,55.42%,,153,,261,,,30,,0,,0,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.12%,,0,,1,,,0,,0,,0,,0,,
Total Votes Cast,,772,,96.14%,,268,,459,,,42,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,31,,3.86%,,17,,13,,,1,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
,FOR AUDITOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP MARK HUNT,,298,,37.11%,,110,,174,,,13,,0,,1,,0,,
DEM MARY ANN ROEBUCK CLAYTOR,,461,,57.41%,,154,,276,,,29,,0,,1,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.12%,,0,,1,,,0,,0,,0,,0,,
Total Votes Cast,,760,,94.65%,,264,,451,,,42,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,43,,5.35%,,21,,21,,,1,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,50,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 26,,,,,,,,,,,,,,,,,,,
,FOR TREASURER,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP LARRY PACK,,494,,61.52%,,176,,287,,,28,,0,,2,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,22,,2.74%,,7,,14,,,1,,0,,0,,0,,
Total Votes Cast,,516,,64.26%,,183,,301,,,29,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,287,,35.74%,,102,,171,,,14,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
,FOR COMMISSIONER OF AGRICULTURE,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP KENT LEONHARDT,,369,,45.95%,,138,,217,,,13,,0,,1,,0,,
DEM DEBORAH STILES,,391,,48.69%,,124,,236,,,29,,0,,1,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.12%,,0,,1,,,0,,0,,0,,0,,
Total Votes Cast,,761,,94.77%,,262,,454,,,42,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,42,,5.23%,,23,,18,,,1,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
,FOR ATTORNEY GENERAL,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
"REP JOHN ""JB"" McCUSKEY",,334,,41.59%,,129,,192,,,12,,0,,1,,0,,
DEM TERESA TORISEVA,,431,,53.67%,,138,,260,,,31,,0,,1,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.12%,,0,,1,,,0,,0,,0,,0,,
Total Votes Cast,,766,,95.39%,,267,,453,,,43,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,37,,4.61%,,18,,19,,,0,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,51,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 26,,,,,,,,,,,,,,,,,,,
,FOR STATE SENATOR 13TH DISTRICT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP REBECCA POLIS,,279,,34.74%,,99,,165,,,14,,0,,1,,0,,
DEM JOEY GARCIA,,485,,60.40%,,166,,289,,,28,,0,,1,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.12%,,0,,1,,,0,,0,,0,,0,,
Total Votes Cast,,765,,95.27%,,265,,455,,,42,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,38,,4.73%,,20,,17,,,1,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
,FOR MEMBER OF HOUSE OF DELEGATES 80TH DISTRICT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP SUMMER D.  HARTLEY,,292,,36.36%,,107,,173,,,11,,0,,1,,0,,
DEM JOHN WILLIAMS,,485,,60.40%,,168,,284,,,31,,0,,1,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.12%,,0,,1,,,0,,0,,0,,0,,
Total Votes Cast,,778,,96.89%,,275,,458,,,42,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,25,,3.11%,,10,,14,,,1,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
,FOR COUNTY COMMISSIONER,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP MARYANN (BABICH) FOLZ,,269,,33.50%,,94,,165,,,10,,0,,0,,0,,
DEM TOM  BLOOM,,490,,61.02%,,169,,286,,,32,,0,,2,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,3,,0.37%,,0,,3,,,0,,0,,0,,0,,
Total Votes Cast,,762,,94.89%,,263,,454,,,42,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,41,,5.11%,,22,,18,,,1,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,52,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 26,,,,,,,,,,,,,,,,,,,
,FOR PROSECUTING ATTORNEY,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
"DEM GABRIELLE ""GABE"" MUCCIOLA",,584,,72.73%,,198,,348,,,36,,0,,1,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,3,,0.37%,,0,,3,,,0,,0,,0,,0,,
Total Votes Cast,,587,,73.10%,,198,,351,,,36,,0,,1,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,216,,26.90%,,87,,121,,,7,,0,,1,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
,FOR SHERIFF,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP JASON MORGAN,,279,,34.74%,,112,,153,,,13,,0,,1,,0,,
DEM TODD FORBES,,478,,59.53%,,152,,296,,,28,,0,,1,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,2,,0.25%,,0,,2,,,0,,0,,0,,0,,
Total Votes Cast,,759,,94.52%,,264,,451,,,41,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,44,,5.48%,,21,,21,,,2,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
,FOR ASSESSOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP RICH JACOBS,,213,,26.53%,,73,,128,,,11,,0,,1,,0,,
DEM MARK A. MUSICK,,557,,69.36%,,197,,327,,,31,,0,,1,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.12%,,0,,1,,,0,,0,,0,,0,,
Total Votes Cast,,771,,96.01%,,270,,456,,,42,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,32,,3.99%,,15,,16,,,1,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,53,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 26,,,,,,,,,,,,,,,,,,,
,FOR SURVEYOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP BOB ANDRIOTTO,,505,,62.89%,,187,,288,,,27,,0,,2,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,17,,2.12%,,5,,12,,,0,,0,,0,,0,,
Total Votes Cast,,522,,65.01%,,192,,300,,,27,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,281,,34.99%,,93,,172,,,16,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
,AMENDMENT NO. 1,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
For,,221,,27.52%,,86,,126,,,8,,0,,0,,1,,
Against,,489,,60.90%,,164,,293,,,30,,0,,2,,0,,
Total Votes Cast,,710,,88.42%,,250,,419,,,38,,0,,2,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,93,,11.58%,,35,,53,,,5,,0,,0,,0,,
Contest Totals,,803,,100.00%,,285,,472,,,43,,0,,2,,1,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,54,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 30,,,,,,,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Early Vote,,Absentee,,,Canvass,,Absentee After ED,,Provisional,,,,
Registered Voters - Total,,623,,,,,,,,,,,,,,,,,
Ballots Cast - Total,,392,,161,,216,,11,,,0,,2,,2,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,0,,0,,0,,,,
Voter Turnout - Total,,62.92%,,,,,,,,,,,,,,,,,
,FOR PRESIDENT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP DONALD J. TRUMP,,195,,49.74%,,85,,107,,,2,,0,,0,,1,,
DEM KAMALA D. HARRIS,,183,,46.68%,,71,,100,,,9,,0,,2,,1,,
LBN CHASE OLIVER,,1,,0.26%,,1,,0,,,0,,0,,0,,0,,
MTN JILL STEIN,,1,,0.26%,,0,,1,,,0,,0,,0,,0,,
IND ROBERT F. KENNEDY JR.,,5,,1.28%,,1,,4,,,0,,0,,0,,0,,
Write-In Totals,,5,,1.28%,,2,,3,,,0,,0,,0,,0,,
Total Votes Cast,,390,,99.49%,,160,,215,,,11,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,2,,0.51%,,1,,1,,,0,,0,,0,,0,,
Contest Totals,,392,,100.00%,,161,,216,,,11,,0,,2,,2,,
,FOR U.S. SENATOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP JIM JUSTICE,,187,,47.70%,,83,,101,,,2,,0,,0,,1,,
DEM GLENN ELLIOTT,,181,,46.17%,,67,,102,,,9,,0,,2,,1,,
LBN DAVID MORAN,,20,,5.10%,,7,,13,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,388,,98.98%,,157,,216,,,11,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,4,,1.02%,,4,,0,,,0,,0,,0,,0,,
Contest Totals,,392,,100.00%,,161,,216,,,11,,0,,2,,2,,
,FOR U.S. HOUSE OF REPS 2ND DIST,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP RILEY MOORE,,199,,50.77%,,86,,110,,,2,,0,,0,,1,,
DEM STEVEN WENDELIN,,177,,45.15%,,66,,100,,,8,,0,,2,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,376,,95.92%,,152,,210,,,10,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,16,,4.08%,,9,,6,,,1,,0,,0,,0,,
Contest Totals,,392,,100.00%,,161,,216,,,11,,0,,2,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,55,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 30,,,,,,,,,,,,,,,,,,,
,FOR GOVERNOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP PATRICK MORRISEY,,165,,42.09%,,72,,90,,,2,,0,,0,,1,,
DEM STEVE WILLIAMS,,189,,48.21%,,69,,108,,,9,,0,,2,,1,,
LBN ERIKA KLIE KOLENICH,,15,,3.83%,,7,,8,,,0,,0,,0,,0,,
MTN CHASE LINKO-LOOPER,,10,,2.55%,,4,,6,,,0,,0,,0,,0,,
CST S. MARSHALL WILSON,,5,,1.28%,,3,,2,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,384,,97.96%,,155,,214,,,11,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,8,,2.04%,,6,,2,,,0,,0,,0,,0,,
Contest Totals,,392,,100.00%,,161,,216,,,11,,0,,2,,2,,
,FOR SECRETARY OF STATE,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP KRIS WARNER,,196,,50.00%,,78,,110,,,6,,0,,0,,2,,
DEM THORNTON COOPER,,177,,45.15%,,68,,102,,,5,,0,,2,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,373,,95.15%,,146,,212,,,11,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,19,,4.85%,,15,,4,,,0,,0,,0,,0,,
Contest Totals,,392,,100.00%,,161,,216,,,11,,0,,2,,2,,
,FOR AUDITOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP MARK HUNT,,184,,46.94%,,77,,103,,,2,,0,,0,,2,,
DEM MARY ANN ROEBUCK CLAYTOR,,188,,47.96%,,72,,106,,,8,,0,,2,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,372,,94.90%,,149,,209,,,10,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,20,,5.10%,,12,,7,,,1,,0,,0,,0,,
Contest Totals,,392,,100.00%,,161,,216,,,11,,0,,2,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,56,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 30,,,,,,,,,,,,,,,,,,,
,FOR TREASURER,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP LARRY PACK,,268,,68.37%,,115,,147,,,3,,0,,1,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,7,,1.79%,,3,,4,,,0,,0,,0,,0,,
Total Votes Cast,,275,,70.15%,,118,,151,,,3,,0,,1,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,117,,29.85%,,43,,65,,,8,,0,,1,,0,,
Contest Totals,,392,,100.00%,,161,,216,,,11,,0,,2,,2,,
,FOR COMMISSIONER OF AGRICULTURE,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP KENT LEONHARDT,,200,,51.02%,,82,,112,,,4,,0,,0,,2,,
DEM DEBORAH STILES,,175,,44.64%,,65,,101,,,7,,0,,2,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,375,,95.66%,,147,,213,,,11,,0,,2,,2,,
