,,Donald J. Trump and JD Vance,Kamala D. Harris and Tim Walz,Chase Oliver and Mike ter Maat,Jill Stein and Rudolph Butch Ware,Cornel West and Melina Abdulla,Randall A. Terry and Stephen E. Broden,Claudia De La Cruz and Karina Garcia,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Libertarian,Green,United Citizens,Constitution,Workers,,,
Precinct,Provisional,4,7,0,0,0,0,0,11,0,11
Precinct,Rice Patch,313,156,1,1,0,2,0,473,5,478
Precinct,Ritter,162,290,0,0,2,1,0,455,1,456
Precinct,Round O,485,226,4,0,1,0,1,717,3,720
Precinct,Ruffin,96,83,1,0,1,0,0,181,3,184
Precinct,Sidneys,350,94,2,1,0,0,1,448,3,451
Precinct,Sniders,367,123,2,3,0,0,1,496,2,498
Precinct,Stokes,380,107,0,2,0,0,1,490,6,496
Precinct,Walterboro No. 01,431,448,5,3,1,3,1,892,5,897
Precinct,Walterboro No. 02,270,370,2,1,2,2,2,649,3,652
Precinct,Walterboro No. 03,194,643,2,1,4,2,0,846,2,848
Precinct,Walterboro No. 04,611,377,10,2,1,4,2,1007,4,1011
Precinct,Walterboro No. 05,780,359,3,0,3,2,1,1148,6,1154
Precinct,Walterboro No. 06,353,353,3,1,5,2,3,720,2,722
Precinct,Williams,133,70,0,0,2,0,1,206,1,207
Precinct,Wolf Creek,257,46,1,1,0,0,0,305,0,305
County,Darlington,17017,12977,101,59,87,54,36,30331,258,30589
Precinct,Antioch,803,397,4,2,1,2,3,1212,4,1216
Precinct,Auburn,101,300,4,1,3,1,2,412,4,416
Precinct,Bethel,283,177,1,0,1,1,0,463,3,466
Precinct,Black Creek-Clyde,670,203,1,2,3,2,2,883,2,885
Precinct,Burnt Branch,365,155,2,0,0,1,0,523,5,528
Precinct,Darlington No. 01,78,95,1,0,2,0,0,176,2,178
Precinct,Darlington No. 02,331,545,1,2,3,1,0,883,11,894
Precinct,Darlington No. 03,1194,795,8,5,4,2,0,2008,10,2018
Precinct,Darlington No. 04,342,563,2,1,1,2,1,912,7,919
Precinct,Darlington No. 05,155,769,0,3,4,1,1,933,8,941
Precinct,Darlington No. 06,622,425,4,2,3,2,2,1060,12,1072
Precinct,Dovesville,409,547,3,1,6,2,0,968,10,978
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,3,3,0,0,0,0,0,6,0,6
Precinct,Hartsville No. 01,608,327,12,2,0,1,0,950,9,959
Precinct,Hartsville No. 04,166,321,2,2,5,0,2,498,4,502
Precinct,Hartsville No. 05,992,719,6,3,7,1,2,1730,16,1746
Precinct,Hartsville No. 06,33,737,0,3,7,0,3,783,9,792
Precinct,Hartsville No. 07,330,270,0,0,1,2,1,604,4,608
Precinct,Hartsville No. 08,1569,421,9,2,2,3,3,2009,18,2027
Precinct,Hartsville No. 09,724,440,7,3,3,2,1,1180,10,1190
Precinct,High Hill,987,882,3,4,6,3,2,1887,17,1904
Precinct,Indian Branch,338,121,1,2,1,0,1,464,3,467
Precinct,Kelleytown,1139,334,9,5,2,3,2,1494,16,1510
Precinct,Lake Swamp,604,380,3,2,1,3,1,994,13,1007
Precinct,Lamar No. 01,225,346,0,0,2,2,0,575,4,579
Precinct,Lamar No. 02,717,392,1,3,2,2,0,1117,8,1125
Precinct,Lydia,188,268,0,1,1,3,0,461,4,465
Precinct,Mechanicsville,625,553,5,2,5,1,1,1192,16,1208
Precinct,New Market,631,109,4,1,0,1,1,747,3,750
Precinct,Oates,519,222,4,1,2,1,1,750,7,757
Precinct,Palmetto,642,651,2,1,4,6,0,1306,9,1315
Precinct,Provisional,7,9,0,0,0,0,0,16,0,16
Precinct,Society Hill,173,297,0,2,2,2,1,477,7,484
Precinct,Swift Creek,444,204,2,1,3,1,3,658,3,661
County,Dillon,6526,5241,21,12,27,16,18,11861,80,11941
Precinct,Bermuda,126,63,0,0,0,0,0,189,3,192
Precinct,Carolina,90,95,0,0,1,0,0,186,2,188
Precinct,East Dillon,1173,290,0,2,1,2,0,1468,7,1475
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,1,1,0,0,0,0,0,2,0,2
Precinct,Floydale,377,70,1,0,1,2,1,452,1,453
Precinct,Fork,257,63,0,0,0,0,0,320,0,320
Precinct,Hamer,344,206,6,0,1,1,2,560,5,565
Precinct,Kemper,196,125,1,0,1,2,2,327,3,330
Precinct,Lake View,536,326,1,2,4,2,1,872,5,877
Precinct,Latta,930,805,6,1,3,4,1,1750,13,1763
Precinct,Little Rock,167,241,0,1,1,0,0,410,3,413
Precinct,Manning,143,82,1,0,0,0,0,226,3,229
Precinct,Minturn,67,70,0,0,0,0,0,137,1,138
Precinct,Mt. Calvary,456,693,1,0,3,0,6,1159,5,1164
Precinct,New Holly,193,75,0,0,0,0,0,268,1,269
Precinct,Oak Grove,512,164,0,1,1,0,2,680,3,683
Precinct,Oakland,257,330,2,1,4,1,1,596,4,600
Precinct,Pleasant Hill,211,77,0,1,0,0,0,289,2,291
Precinct,Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,South Dillon,193,687,0,3,3,0,2,888,4,892
Precinct,West Dillon,297,778,2,0,3,2,0,1082,15,1097
County,Dorchester,43839,32489,444,533,174,183,102,77764,560,78324
Precinct,4 Hole,474,281,2,2,2,1,0,762,2,764
Precinct,Archdale,363,407,5,2,5,6,2,790,3,793
Precinct,Archdale 02,508,464,4,1,2,1,2,982,8,990
Precinct,Ashborough East,344,393,1,3,0,2,2,745,3,748
Precinct,Ashborough East 02,464,174,7,2,0,2,1,650,4,654
Precinct,Ashborough West,214,141,0,0,0,2,0,357,2,359
Precinct,Ashborough West 02,542,290,7,5,3,1,0,848,5,853
Precinct,Ashley River,803,786,9,5,7,4,3,1617,10,1627
Precinct,Bacons Bridge,1153,731,12,3,8,5,0,1912,6,1918
Precinct,Bacons Bridge 02,621,430,5,2,6,4,1,1069,4,1073
Precinct,Beech Hill,861,423,1,2,2,4,1,1294,10,1304
Precinct,Beech Hill 02,1590,860,23,8,3,6,4,2494,14,2508
Precinct,Brandymill,304,187,3,4,0,1,1,500,5,505
Precinct,Brandymill 02,424,361,4,3,3,0,2,797,2,799
Precinct,Briarwood,393,302,2,0,3,1,3,704,5,709
Precinct,Briarwood 02,412,293,3,2,2,2,1,715,4,719
Precinct,Briarwood 03,308,180,2,2,2,4,0,498,4,502
Precinct,Butternut,1053,610,19,1,3,2,3,1691,8,1699
Precinct,Carolina,559,623,5,1,3,1,2,1194,8,1202
Precinct,Central,756,383,3,1,2,4,2,1151,9,1160
Precinct,Central 02,606,412,4,4,3,2,1,1032,4,1036
Precinct,Clemson,927,364,5,78,2,3,0,1379,25,1404
Precinct,Clemson 02,923,680,13,192,6,2,1,1817,82,1899
Precinct,Clemson 03,473,389,5,84,3,0,1,955,31,986
Precinct,Coastal,294,438,3,1,2,3,1,742,3,745
Precinct,Coastal 02,605,433,4,2,1,0,2,1047,3,1050
Precinct,Coastal 03,256,214,1,1,0,2,1,475,2,477
Precinct,Coosaw,1096,950,18,6,7,5,1,2083,14,2097
Precinct,Coosaw 02,668,758,7,9,4,3,1,1450,12,1462
Precinct,Coosaw 03,531,378,4,2,3,5,1,924,10,934
Precinct,Cypress,1173,799,15,0,1,4,2,1994,13,2007
Precinct,Cypress 02,549,274,2,1,3,3,1,833,4,837
Precinct,Delemars,905,636,6,1,5,2,1,1556,6,1562
Precinct,Dorchester,451,338,3,1,2,1,0,796,5,801
Precinct,Dorchester 02,510,273,12,3,0,1,0,799,15,814
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Flowertown,1838,964,22,5,4,3,2,2838,25,2863
Precinct,Flowertown 02,547,332,8,5,2,2,1,897,4,901
Precinct,Flowertown 03,559,409,8,1,2,1,1,981,7,988
Precinct,Germantown,570,393,2,2,4,7,1,979,5,984
Precinct,Givhans,484,218,4,1,1,1,0,709,5,714
Precinct,Givhans 02,581,341,5,2,1,1,0,931,3,934
Precinct,Greenhurst,421,381,5,1,2,2,1,813,5,818
Precinct,Greenwave,381,288,2,1,4,2,0,678,2,680
Precinct,Grover,385,245,2,1,1,1,1,636,7,643
Precinct,Harleyville,327,156,4,0,1,1,0,489,2,491
Precinct,Indian Field,166,241,1,0,2,2,2,414,6,420
Precinct,Indian Field 02,291,302,1,1,3,1,0,599,0,599
Precinct,Irongate,346,156,4,2,0,0,2,510,3,513
Precinct,Irongate 02,150,114,1,1,0,0,0,266,1,267
Precinct,Irongate 03,268,147,2,1,0,2,0,420,4,424
Precinct,Kings Grant,620,560,4,3,4,2,0,1193,3,1196
Precinct,Kings Grant 02,734,687,9,1,3,4,4,1442,7,1449
Precinct,Knightsville,641,309,3,4,0,1,1,959,7,966
Precinct,Lincoln,232,502,4,2,3,2,1,746,3,749
Precinct,Miles-Jamison,808,644,11,2,2,3,3,1473,9,1482
Precinct,Newington,561,271,7,5,1,3,2,850,11,861
Precinct,Newington 02,378,160,2,1,1,0,0,542,5,547
Precinct,North Summerville,209,135,2,2,1,0,0,349,3,352
Precinct,North Summerville 02,303,580,4,1,2,4,5,899,5,904
Precinct,Oakbrook,1164,1265,13,11,4,6,6,2469,5,2474
Precinct,Oakbrook 02,472,436,10,5,2,2,0,927,6,933
Precinct,Patriot,311,748,4,6,5,3,0,1077,6,1083
Precinct,Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Reevesville,431,284,2,1,4,3,1,726,8,734
Precinct,Ridgeville,558,283,6,0,0,2,0,849,3,852
Precinct,Ridgeville 02,222,210,0,0,0,3,0,435,3,438
Precinct,Rosinville,533,403,2,1,4,3,2,948,7,955
Precinct,Rosses,485,243,6,0,1,3,1,739,6,745
Precinct,Saul Dam,734,363,8,4,1,1,0,1111,3,1114
Precinct,Sawmill Branch,713,351,6,1,1,1,1,1074,4,1078
Precinct,Spann,644,324,15,4,0,1,0,988,4,992
Precinct,St. George No. 01,423,387,2,0,1,0,0,813,4,817
Precinct,St. George No. 02,279,190,7,2,3,2,0,483,2,485
Precinct,Stallsville,487,260,5,2,0,3,4,761,4,765
Precinct,Tranquil,258,182,1,2,0,1,2,446,1,447
Precinct,Tranquil 2,384,482,10,0,1,8,3,888,3,891
Precinct,Tranquil 3,304,339,2,3,0,0,3,651,2,653
Precinct,Trolley,330,371,1,2,2,0,0,706,5,711
Precinct,Tupperway,372,217,2,6,0,2,0,599,3,602
Precinct,Tupperway 02,380,284,3,1,1,4,5,678,2,680
Precinct,Windsor,295,330,1,3,2,1,2,634,2,636
Precinct,Windsor 02,147,347,2,0,0,0,1,497,0,497
County,Edgefield,9092,4659,61,24,31,33,19,13919,60,13979
Precinct,Brunson,188,250,1,1,2,0,1,443,2,445
Precinct,Edgefield No. 01,466,233,4,2,1,3,0,709,3,712
Precinct,Edgefield No. 02,683,584,4,2,4,3,1,1281,11,1292
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Harmony,593,173,2,2,1,1,2,774,13,787
Precinct,Johnston No. 01,393,437,5,2,1,4,0,842,4,846
Precinct,Johnston No. 02,381,396,2,3,1,1,3,787,6,793
Precinct,Merriweather No. 01,1984,527,15,3,2,7,3,2541,6,2547
Precinct,Merriweather No. 02,2137,607,10,2,5,8,6,2775,6,2781
Precinct,North Side,185,173,0,0,1,0,0,359,1,360
Precinct,Provisional,4,1,0,0,0,0,0,5,0,5
Precinct,Trenton No. 01,486,347,2,1,2,0,0,838,1,839
Precinct,Trenton No. 02,790,862,13,6,10,4,3,1688,5,1693
Precinct,Westside,802,69,3,0,1,2,0,877,2,879
County,Fairfield,4792,6277,29,31,54,19,13,11215,99,11314
Precinct,Blackstock,16,36,0,0,0,0,0,52,2,54
Precinct,Blairs,75,229,0,0,2,0,0,306,2,308
Precinct,Centerville,157,68,1,0,3,0,0,229,0,229
Precinct,Dutchmans Creek,850,362,4,3,5,3,0,1227,15,1242
Precinct,Failsafe,0,3,0,0,0,0,0,3,0,3
Precinct,Failsafe Provisional,2,1,0,0,0,0,0,3,0,3
Precinct,Feasterville,61,132,0,0,0,1,2,196,6,202
Precinct,Gladden Grove,29,18,0,0,0,0,0,47,0,47
Precinct,Greenbrier,562,798,6,3,5,2,1,1377,11,1388
Precinct,Hickory Ridge,228,369,0,3,3,1,0,604,2,606
Precinct,Horeb-glenn,44,186,0,0,0,0,0,230,1,231
Precinct,Jenkinsville,107,300,1,1,1,2,1,413,2,415
Precinct,Lebanon,270,254,1,1,2,1,0,529,4,533
Precinct,Mitford,280,222,3,1,3,0,0,509,10,519
Precinct,Monticello,158,242,0,1,5,1,0,407,2,409
Precinct,New Hope,32,17,0,0,0,0,0,49,0,49
Precinct,Provisional,11,7,0,0,0,0,0,18,0,18
Precinct,Ridgeway,568,968,3,7,10,0,1,1557,12,1569
Precinct,Simpson,349,321,4,4,3,2,0,683,11,694
Precinct,South Winnsboro,96,354,0,0,1,0,2,453,3,456
Precinct,White Oak,48,129,2,1,1,0,1,182,2,184
Precinct,Winnsboro Mills,187,248,3,3,5,4,2,452,1,453
Precinct,Winnsboro No. 01,277,579,1,2,3,1,2,865,8,873
Precinct,Winnsboro No. 02,360,365,0,1,2,1,1,730,5,735
Precinct,Woodard,25,69,0,0,0,0,0,94,0,94
County,Florence,32615,27706,206,166,258,116,73,61140,482,61622
Precinct,Back Swamp,226,100,2,0,1,1,0,330,1,331
Precinct,Brookgreen,94,308,2,0,2,2,0,408,6,414
Precinct,Cartersville,299,201,1,0,3,0,0,504,8,512
Precinct,Claussen,1027,537,4,3,4,3,1,1579,9,1588
Precinct,Coles Crossroads,1011,933,6,7,4,3,3,1967,11,1978
Precinct,Coward No. 01,423,155,2,0,2,0,1,583,4,587
Precinct,Coward No. 02,508,154,1,1,1,0,0,665,4,669
Precinct,Delmae No. 01,641,708,11,2,9,1,3,1375,11,1386
Precinct,Delmae No. 02,1032,374,4,7,2,2,1,1422,13,1435
Precinct,Ebenezer No. 01,1798,947,13,13,4,5,1,2781,18,2799
Precinct,Ebenezer No. 02,1294,1080,7,7,8,6,5,2407,12,2419
Precinct,Ebenezer No. 03,811,461,5,1,3,5,1,1287,7,1294
Precinct,Effingham,439,124,0,2,2,5,2,574,7,581
Precinct,Elim-glenwood,934,304,1,1,4,0,0,1244,7,1251
Precinct,Evergreen,539,191,1,2,3,1,1,738,8,746
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,11,3,0,0,0,0,0,14,0,14
Precinct,Florence Ward 01,35,600,0,0,9,1,1,646,8,654
Precinct,Florence Ward 02,53,444,2,0,6,2,4,511,8,519
Precinct,Florence Ward 03,25,542,4,0,7,2,2,582,7,589
Precinct,Florence Ward 04,179,243,3,0,2,0,0,427,4,431
Precinct,Florence Ward 05,209,367,4,3,5,3,1,592,7,599
Precinct,Florence Ward 06,355,195,7,3,0,1,0,561,6,567
Precinct,Florence Ward 07,793,507,9,3,7,3,1,1323,14,1337
Precinct,Florence Ward 08,995,441,9,5,2,2,1,1455,15,1470
Precinct,Florence Ward 09,30,736,2,1,8,0,1,778,10,788
Precinct,Florence Ward 10,17,310,0,1,4,0,0,332,6,338
Precinct,Florence Ward 11,279,277,4,1,2,0,0,563,4,567
Precinct,Florence Ward 12,1097,576,8,9,4,3,4,1701,8,1709
Precinct,Florence Ward 14,961,619,6,15,8,3,0,1612,17,1629
Precinct,Florence Ward 15,56,165,2,1,2,0,1,227,2,229
Precinct,Friendfield,357,50,0,0,1,0,0,408,4,412
Precinct,Gilbert,206,920,3,1,6,2,3,1141,12,1153
Precinct,Greenwood,781,752,7,4,6,7,2,1559,13,1572
Precinct,Hannah,429,57,1,1,2,1,0,491,5,496
Precinct,High Hill,269,79,1,0,0,0,1,350,2,352
Precinct,Johnsonville,1048,352,3,1,9,3,1,1417,9,1426
Precinct,Kingsburg-stone,345,317,1,0,4,0,0,667,10,677
Precinct,Lake City No. 01,177,601,0,2,3,2,3,788,4,792
Precinct,Lake City No. 02,511,294,1,1,2,2,0,811,5,816
Precinct,Lake City No. 03,406,564,2,2,5,0,2,981,5,986
Precinct,Lake City No. 04,67,847,1,0,8,3,0,926,6,932
Precinct,Leo,157,86,2,0,1,0,0,246,3,249
Precinct,Mars Bluff No. 01,847,715,5,3,8,2,1,1581,13,1594
Precinct,Mars Bluff No. 02,678,376,4,1,4,2,1,1066,6,1072
Precinct,Mcallister Mill,341,136,1,0,0,0,0,478,2,480
Precinct,Mill Branch,171,225,1,2,3,1,0,403,5,408
Precinct,Oak Grove-sardis,674,129,2,1,1,2,0,809,2,811
Precinct,Olanta,584,333,0,1,7,1,2,928,6,934
Precinct,Pamplico No. 01,608,202,5,1,1,0,0,817,8,825
Precinct,Pamplico No. 02,154,210,2,4,2,1,2,375,2,377
Precinct,Prospect,252,19,0,1,1,1,0,274,0,274
Precinct,Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Quinby,161,439,1,4,3,4,2,614,1,615
Precinct,Salem,346,33,0,1,0,0,0,380,6,386
Precinct,Savannah Grove,1327,1564,8,10,9,4,3,2925,24,2949
Precinct,Scranton,318,204,0,0,3,1,1,527,2,529
Precinct,South Florence 01,1014,856,7,7,7,5,2,1898,10,1908
Precinct,South Florence 02,245,872,5,7,7,1,3,1140,16,1156
Precinct,Spaulding,39,720,0,1,1,2,1,764,6,770
Precinct,Tans Bay,695,560,5,3,8,4,3,1278,16,1294
Precinct,Timmonsville 01,177,629,1,1,9,2,1,820,8,828
Precinct,Timmonsville 02,466,449,2,1,7,0,1,926,6,932
Precinct,Vox,336,77,1,1,1,1,1,418,2,420
Precinct,West Florence 01,1496,1064,10,14,8,5,2,2599,12,2611
Precinct,West Florence 02,762,373,4,2,3,3,0,1147,9,1156
County,Georgetown,22326,14965,160,105,106,56,36,37754,365,38119
Precinct,Andrews,375,626,10,5,9,2,2,1029,15,1044
Precinct,Andrews Outside,319,334,0,1,4,2,0,660,8,668
Precinct,Bethel,701,89,1,2,0,1,1,795,4,799
Precinct,Black River,1011,300,2,3,0,1,2,1319,8,1327
Precinct,Browns Ferry,307,957,4,0,6,1,4,1279,12,1291
Precinct,Carvers Bay,112,37,1,0,0,0,0,150,1,151
Precinct,Choppee,263,415,2,0,2,4,1,687,4,691
Precinct,Dreamkeepers,31,489,1,0,6,2,2,531,3,534
Precinct,Failsafe,2,0,0,0,0,0,0,2,0,2
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Folly Grove,442,149,0,0,1,0,0,592,3,595
Precinct,Georgetown No. 01,397,294,6,3,2,2,1,705,10,715
Precinct,Georgetown No. 03,106,619,1,0,9,3,3,741,12,753
Precinct,Georgetown No. 04,269,170,1,1,1,0,0,442,1,443
Precinct,Georgetown No. 05,850,439,2,6,6,1,1,1305,11,1316
Precinct,Kensington,684,233,4,0,2,1,1,925,9,934
Precinct,Lambert Town,330,63,2,1,1,1,1,399,0,399
Precinct,Murrells Inlet No. 01,2002,870,15,15,4,3,3,2912,20,2932
Precinct,Murrells Inlet No. 02,1307,621,8,5,5,3,2,1951,16,1967
Precinct,Murrells Inlet No. 03,499,195,1,1,1,0,0,697,1,698
Precinct,Murrells Inlet No. 04,1004,275,4,2,0,2,0,1287,7,1294
Precinct,Myersville,43,241,0,0,3,0,0,287,2,289
Precinct,Pawleys Island No. 01,1816,966,13,11,6,3,1,2816,34,2850
Precinct,Pawleys Island No. 02,1641,1252,19,14,6,4,1,2937,37,2974
Precinct,Pawleys Island No. 03,1449,766,11,7,3,7,0,2243,25,2268
Precinct,Pawleys Island No. 04,1740,705,23,8,1,2,1,2480,31,2511
Precinct,Pawleys Island No. 05,1863,890,13,8,3,7,1,2785,41,2826
Precinct,Pee Dee,125,277,1,1,1,0,1,406,5,411
Precinct,Penny Royal,251,142,0,3,0,0,2,398,5,403
Precinct,Plantersville,162,302,2,2,3,0,1,472,5,477
Precinct,Pleasant Hill,457,212,2,2,1,1,0,675,8,683
Precinct,Potato Bed Ferry,349,176,2,0,2,0,1,530,2,532
Precinct,Provisional,16,14,0,0,0,0,0,30,0,30
Precinct,Sampit,146,496,3,2,2,1,1,651,4,655
Precinct,Santee,173,552,2,1,5,1,0,734,14,748
Precinct,Spring Gully,571,628,3,0,10,0,2,1214,4,1218
Precinct,Winyah Bay,513,171,1,1,1,1,0,688,3,691
County,Greenville,158541,100074,1909,1103,544,847,298,263316,2191,265507
Precinct,Aiken,258,359,2,2,3,3,1,628,7,635
Precinct,Altamont Forest,781,326,17,3,2,6,3,1138,11,1149
Precinct,Asheton Lakes,1733,853,19,10,5,6,2,2628,27,2655
Precinct,Avon,819,389,11,4,2,11,2,1238,11,1249
Precinct,Baker Creek,789,240,3,4,3,2,0,1041,4,1045
Precinct,Belle Meade,105,790,2,4,7,1,3,912,2,914
Precinct,Bells Crossing,1451,775,12,7,7,8,2,2262,16,2278
Precinct,Belmont,204,343,5,1,2,1,1,557,1,558
Precinct,Berea,459,381,2,4,6,5,3,860,8,868
Precinct,Boiling Springs,962,571,17,2,1,10,2,1565,19,1584
Precinct,Botany Woods,762,387,13,7,3,4,2,1178,11,1189
Precinct,Bridge Fork,881,411,9,4,1,5,1,1312,8,1320
Precinct,Brookglenn,523,279,3,2,2,2,0,811,4,815
Precinct,Canebrake,1356,766,24,19,6,9,3,2183,16,2199
Precinct,Carolina,185,538,5,2,5,2,3,740,6,746
Precinct,Castle Rock,1847,561,12,4,1,2,1,2428,13,2441
Precinct,Chestnut Hills,495,542,7,6,6,3,3,1062,6,1068
Precinct,Circle Creek,1572,837,22,2,5,9,1,2448,20,2468
Precinct,Clear Creek,1078,268,7,2,0,7,0,1362,17,1379
Precinct,Conestee,911,858,10,5,5,5,1,1795,6,1801
Precinct,Darby Ridge,1728,516,16,7,0,3,2,2272,20,2292
Precinct,Del Norte,867,618,10,4,4,7,3,1513,11,1524
Precinct,Devenger,968,466,13,7,1,13,1,1469,22,1491
Precinct,Donaldson,562,871,10,6,0,2,0,1451,9,1460
Precinct,Dove Tree,836,516,16,6,2,4,1,1381,15,1396
Precinct,Dunklin,1622,263,8,2,3,7,0,1905,8,1913
Precinct,Eastside,1193,624,18,11,3,7,2,1858,20,1878
Precinct,Ebenezer,1431,415,12,12,3,6,5,1884,10,1894
Precinct,Edwards Forest,1082,507,9,2,2,5,2,1609,17,1626
Precinct,Enoree,1344,984,22,15,5,8,1,2379,17,2396
Precinct,Failsafe,178,119,1,2,4,0,0,304,0,304
Precinct,Failsafe Provisional,345,234,7,8,3,1,1,599,1,600
Precinct,Feaster,508,425,8,6,1,3,3,954,10,964
Precinct,Fork Shoals,1297,263,7,0,2,10,1,1580,7,1587
Precinct,Fountain Inn 01,1531,1148,14,10,5,7,3,2718,18,2736
Precinct,Fountain Inn 02,796,464,4,4,5,1,2,1276,9,1285
Precinct,Fox Chase,1317,388,5,5,2,3,1,1721,13,1734
Precinct,Frohawk,949,298,10,6,1,4,2,1270,10,1280
Precinct,Furman,1330,882,14,11,3,7,2,2249,24,2273
Precinct,Gowensville,1380,355,5,1,1,3,3,1748,14,1762
Precinct,Granite Creek,1625,931,19,25,1,6,2,2609,17,2626
Precinct,Graze Branch,1009,463,6,10,0,11,1,1500,12,1512
Precinct,Greenbriar,968,813,8,6,3,3,4,1805,12,1817
Precinct,Greenville 01,723,657,21,7,1,9,3,1421,20,1441
Precinct,Greenville 03,876,1070,31,10,2,8,3,2000,20,2020
Precinct,Greenville 04,494,1034,20,9,7,1,2,1567,18,1585
Precinct,Greenville 05,828,1301,18,12,7,5,4,2175,21,2196
Precinct,Greenville 06,182,359,5,1,2,3,0,552,3,555
Precinct,Greenville 07,404,981,9,9,8,6,2,1419,17,1436
Precinct,Greenville 08,1011,1633,25,12,8,5,8,2702,20,2722
Precinct,Greenville 10,743,1061,27,10,1,5,4,1851,17,1868
Precinct,Greenville 14,167,789,6,8,6,1,1,978,11,989
Precinct,Greenville 16,819,748,19,4,2,3,0,1595,20,1615
Precinct,Greenville 17,741,610,18,5,1,7,0,1382,22,1404
Precinct,Greenville 18,752,471,10,1,0,2,1,1237,18,1255
Precinct,Greenville 19,348,929,9,5,8,6,2,1307,14,1321
Precinct,Greenville 20,553,422,5,3,0,2,0,985,17,1002
Precinct,Greenville 21,468,471,10,5,3,6,0,963,13,976
Precinct,Greenville 22,1154,653,26,8,2,4,1,1848,20,1868
Precinct,Greenville 23,1113,587,11,5,1,4,1,1722,35,1757
Precinct,Greenville 24,1819,1857,30,19,11,6,3,3745,47,3792
Precinct,Greenville 25,422,469,6,4,3,1,2,907,4,911
Precinct,Greenville 26,398,785,8,11,7,5,1,1215,15,1230
Precinct,Greenville 27,509,235,14,4,2,11,0,775,17,792
Precinct,Greenville 28,298,348,8,6,0,9,0,669,4,673
Precinct,Greenville 29,410,957,12,6,11,3,1,1400,5,1405
Precinct,Grove,549,527,4,6,1,2,2,1091,8,1099
Precinct,Hillcrest,1251,690,15,6,0,6,0,1968,14,1982
Precinct,Holly Tree,694,358,7,2,1,5,1,1068,12,1080
Precinct,Jennings Mill,1114,467,11,5,1,5,0,1603,22,1625
Precinct,Kilgore Farms,1305,805,14,10,4,2,3,2143,8,2151
Precinct,Lakeview,762,697,18,13,4,4,6,1504,11,1515
Precinct,Laurel Ridge,1427,581,15,10,4,10,1,2048,13,2061
Precinct,Leawood,874,575,12,5,4,5,2,1477,14,1491
Precinct,Locust Hill,987,250,5,5,2,6,0,1255,17,1272
Precinct,Long Creek,1218,669,18,10,3,3,4,1925,6,1931
Precinct,Maple Creek,1036,524,11,7,2,3,1,1584,7,1591
Precinct,Maridell,1355,321,10,4,3,11,3,1707,15,1722
Precinct,Mauldin 01,874,861,9,6,3,6,3,1762,8,1770
Precinct,Mauldin 02,1740,1421,17,14,8,9,2,3211,27,3238
Precinct,Mauldin 03,724,883,13,3,5,6,1,1635,10,1645
Precinct,Mauldin 04,1307,853,8,9,6,7,2,2192,19,2211
Precinct,Mauldin 05,1029,995,16,4,5,7,8,2064,16,2080
Precinct,Mauldin 06,879,753,14,2,1,4,2,1655,8,1663
Precinct,Mauldin 07,829,580,17,12,2,7,0,1447,12,1459
Precinct,Mission,1191,782,14,15,1,3,1,2007,36,2043
Precinct,Monaview,581,479,5,2,6,6,2,1081,11,1092
Precinct,Moore Creek,1997,1617,17,12,2,10,7,3662,33,3695
Precinct,Mountain Creek,1305,482,12,4,3,7,3,1816,12,1828
Precinct,Mountain View,1661,246,8,3,4,6,1,1929,5,1934
Precinct,Mt. Pleasant,304,745,4,5,10,1,2,1071,9,1080
Precinct,Neely Farms,1679,1072,25,15,11,12,6,2820,11,2831
Precinct,Northwood,913,493,18,3,2,8,0,1437,19,1456
Precinct,Oakview,1613,841,14,15,4,6,4,2497,21,2518
Precinct,Oneal,2414,662,16,9,0,4,2,3107,9,3116
Precinct,Palmetto,731,475,16,8,5,8,0,1243,17,1260
Precinct,Paris Mountain,745,356,12,8,0,8,1,1130,7,1137
Precinct,Pebble Creek,1261,538,14,10,2,4,3,1832,18,1850
Precinct,Pelham Falls,549,302,15,7,1,3,0,877,12,889
Precinct,Piedmont,1340,769,13,7,7,6,0,2142,7,2149
Precinct,Pineview,916,250,4,5,1,1,0,1177,6,1183
Precinct,Poinsett,1329,907,14,7,7,5,2,2271,15,2286
Precinct,Provisional,198,130,2,0,1,1,0,332,6,338
Precinct,Raintree,1647,1020,19,15,6,8,7,2722,25,2747
Precinct,Ranch Creek,1345,1494,15,15,12,7,6,2894,16,2910
Precinct,Reedy Fork,1508,1141,9,8,0,9,5,2680,11,2691
Precinct,Riverside,1130,777,17,19,5,2,7,1957,11,1968
