"County","Office","Candidate","Party","County Total","State Total"
"Clarke","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","4","1028"
"Clay","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","5","1028"
"Coahoma","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","6","1028"
"Copiah","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","9","1028"
"Covington","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","6","1028"
"DeSoto","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","127","1028"
"Forrest","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","23","1028"
"Franklin","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","1","1028"
"George","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","6","1028"
"Greene","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","5","1028"
"Grenada","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","2","1028"
"Hancock","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","15","1028"
"Harrison","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","53","1028"
"Hinds","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","86","1028"
"Holmes","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","3","1028"
"Humphreys","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","3","1028"
"Issaquena","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","5","1028"
"Itawamba","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","7","1028"
"Jackson","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","31","1028"
"Jasper","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","5","1028"
"Jeff Davis","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","4","1028"
"Jefferson","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","3","1028"
"Jones","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","19","1028"
"Kemper","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","1","1028"
"Lafayette","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","20","1028"
"Lamar","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","33","1028"
"Lauderdale","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","18","1028"
"Lawrence","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","2","1028"
"Leake","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","4","1028"
"Lee","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","23","1028"
"Leflore","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","9","1028"
"Lincoln","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","11","1028"
"Lowndes","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","13","1028"
"Madison","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","33","1028"
"Marion","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","8","1028"
"Marshall","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","9","1028"
"Monroe","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","11","1028"
"Montgomery","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","5","1028"
"Neshoba","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","8","1028"
"Newton","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","10","1028"
"Noxubee","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","5","1028"
"Oktibbeha","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","17","1028"
"Panola","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","14","1028"
"Pearl River","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","18","1028"
"Perry","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","4","1028"
"Pike","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","11","1028"
"Pontotoc","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","11","1028"
"Prentiss","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","10","1028"
"Quitman","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","5","1028"
"Rankin","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","51","1028"
"Scott","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","3","1028"
"Sharkey","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","0","1028"
"Simpson","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","13","1028"
"Smith","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","8","1028"
"Stone","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","16","1028"
"Sunflower","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","4","1028"
"Tallahatchie","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","8","1028"
"Tate","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","4","1028"
"Tippah","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","9","1028"
"Tishomingo","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","2","1028"
"Tunica","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","2","1028"
"Union","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","12","1028"
"Walthall","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","5","1028"
"Warren","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","19","1028"
"Washington","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","16","1028"
"Wayne","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","8","1028"
"Webster","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","4","1028"
"Wilkinson","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","3","1028"
"Winston","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","8","1028"
"Yalobusha","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","6","1028"
"Yazoo","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","11","1028"
"Adams","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","5081","746305"
"Alcorn","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","12657","746305"
"Amite","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","4484","746305"
"Attala","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","4723","746305"
"Benton","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","2535","746305"
"Bolivar","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","3943","746305"
"Calhoun","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","4443","746305"
"Carroll","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","3730","746305"
"Chickasaw","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","4079","746305"
"Choctaw","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","2881","746305"
"Claiborne","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","558","746305"
"Clarke","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","5093","746305"
"Clay","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","4017","746305"
"Coahoma","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","2008","746305"
"Copiah","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","6134","746305"
"Covington","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","5869","746305"
"DeSoto","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","48064","746305"
"Forrest","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","16579","746305"
"Franklin","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","2831","746305"
"George","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","9858","746305"
"Greene","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","4776","746305"
"Grenada","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","5651","746305"
"Hancock","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","16684","746305"
"Harrison","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","48497","746305"
"Hinds","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","22816","746305"
"Holmes","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","1243","746305"
"Humphreys","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","990","746305"
"Issaquena","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","296","746305"
"Itawamba","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","9523","746305"
"Jackson","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","36376","746305"
"Jasper","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","4118","746305"
"Jeff Davis","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","2302","746305"
"Jefferson","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","541","746305"
"Jones","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","20265","746305"
"Kemper","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","1691","746305"
"Lafayette","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","14050","746305"
"Lamar","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","20775","746305"
"Lauderdale","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","16487","746305"
"Lawrence","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","4113","746305"
"Leake","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","5143","746305"
"Lee","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","24339","746305"
"Leflore","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","2854","746305"
"Lincoln","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","11432","746305"
"Lowndes","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","13087","746305"
"Madison","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","32333","746305"
"Marion","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","7874","746305"
"Marshall","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","7977","746305"
"Monroe","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","10861","746305"
"Montgomery","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","2658","746305"
"Neshoba","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","8154","746305"
"Newton","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","6641","746305"
"Noxubee","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","1151","746305"
"Oktibbeha","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","8901","746305"
"Panola","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","8202","746305"
"Pearl River","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","20438","746305"
"Perry","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","4425","746305"
"Pike","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","6504","746305"
"Pontotoc","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","11740","746305"
"Prentiss","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","8581","746305"
"Quitman","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","902","746305"
"Rankin","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","50896","746305"
"Scott","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","6098","746305"
"Sharkey","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","551","746305"
"Simpson","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","7552","746305"
"Smith","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","6146","746305"
"Stone","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","6214","746305"
"Sunflower","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","2515","746305"
"Tallahatchie","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","2333","746305"
"Tate","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","9185","746305"
"Tippah","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","7984","746305"
"Tishomingo","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","8064","746305"
"Tunica","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","799","746305"
"Union","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","10559","746305"
"Walthall","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","4114","746305"
"Warren","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","9407","746305"
"Washington","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","4649","746305"
"Wayne","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","6013","746305"
"Webster","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","4195","746305"
"Wilkinson","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","1075","746305"
"Winston","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","4922","746305"
"Yalobusha","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","3518","746305"
"Yazoo","United States-President","Presidential Electors for Donald J. Trump for President and JD Vance for Vice President","Republican","4558","746305"
"Adams","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Alcorn","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","3","687"
"Amite","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","7","687"
"Attala","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Benton","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","3","687"
"Bolivar","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","3","687"
"Calhoun","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","3","687"
"Carroll","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","2","687"
"Chickasaw","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","5","687"
"Choctaw","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Claiborne","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","3","687"
"Clarke","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","1","687"
"Clay","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","8","687"
"Coahoma","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","5","687"
"Copiah","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","6","687"
"Covington","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","5","687"
"DeSoto","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","126","687"
"Forrest","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","12","687"
"Franklin","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","1","687"
"George","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","1","687"
"Greene","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Grenada","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","2","687"
"Hancock","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","11","687"
"Harrison","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","32","687"
"Hinds","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","63","687"
"Holmes","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","10","687"
"Humphreys","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","6","687"
"Issaquena","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","5","687"
"Itawamba","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","2","687"
"Jackson","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","12","687"
"Jasper","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","6","687"
"Jeff Davis","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Jefferson","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Jones","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Kemper","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","2","687"
"Lafayette","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","6","687"
"Lamar","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","13","687"
"Lauderdale","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","13","687"
"Lawrence","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","2","687"
"Leake","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","5","687"
"Lee","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","9","687"
"Leflore","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","2","687"
"Lincoln","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","3","687"
"Lowndes","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","20","687"
"Madison","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","27","687"
"Marion","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","6","687"
"Marshall","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","5","687"
"Monroe","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","8","687"
"Montgomery","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","3","687"
"Neshoba","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","3","687"
"Newton","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Noxubee","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","3","687"
"Oktibbeha","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","14","687"
"Panola","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","13","687"
"Pearl River","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","10","687"
"Perry","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Pike","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","9","687"
"Pontotoc","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","6","687"
"Prentiss","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","2","687"
"Quitman","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","8","687"
"Rankin","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","32","687"
"Scott","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","2","687"
"Sharkey","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Simpson","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Smith","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","2","687"
"Stone","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","2","687"
"Sunflower","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Tallahatchie","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","6","687"
"Tate","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","3","687"
"Tippah","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Tishomingo","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","3","687"
"Tunica","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","1","687"
"Union","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Walthall","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","1","687"
"Warren","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","11","687"
"Washington","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","11","687"
"Wayne","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Webster","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","2","687"
"Wilkinson","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","1","687"
"Winston","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","6","687"
"Yalobusha","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","4","687"
"Yazoo","United States-President","Presidential Electors for Shiva Ayyadurai for President and Crystal Ellis for Vice President","Independent","5","687"
"Adams","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","6","1073"
"Alcorn","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","3","1073"
"Amite","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","8","1073"
"Attala","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","4","1073"
"Benton","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","1","1073"
"Bolivar","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","9","1073"
"Calhoun","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","5","1073"
"Carroll","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","5","1073"
"Chickasaw","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","4","1073"
"Choctaw","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","0","1073"
"Claiborne","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","7","1073"
"Clarke","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","2","1073"
"Clay","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","4","1073"
"Coahoma","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","7","1073"
"Copiah","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","7","1073"
"Covington","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","5","1073"
"DeSoto","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","334","1073"
"Forrest","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","35","1073"
"Franklin","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","1","1073"
"George","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","7","1073"
"Greene","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","2","1073"
"Grenada","United States-President","Presidential Electors for Claudia De la Cruz for President and Karina Garcia for Vice President","Independent","4","1073"
